DATE,ATNHPIUS06075A
1975-01-01,10.66
1976-01-01,12.44
1977-01-01,15.21
1978-01-01,17.60
1979-01-01,21.48
1980-01-01,26.19
1981-01-01,27.37
1982-01-01,25.51
1983-01-01,29.47
1984-01-01,30.69
1985-01-01,33.45
1986-01-01,37.32
1987-01-01,42.99
1988-01-01,54.26
1989-01-01,66.47
1990-01-01,67.07
1991-01-01,63.90
1992-01-01,62.55
1993-01-01,60.04
1994-01-01,58.80
1995-01-01,58.09
1996-01-01,58.88
1997-01-01,63.44
1998-01-01,71.64
1999-01-01,78.80
2000-01-01,100.00
2001-01-01,114.10
2002-01-01,120.02
2003-01-01,126.20
2004-01-01,142.33
2005-01-01,173.45
2006-01-01,185.24
2007-01-01,185.09
2008-01-01,174.76
2009-01-01,159.69
2010-01-01,156.25
2011-01-01,148.54
2012-01-01,153.30
2013-01-01,170.18
2014-01-01,197.24
2015-01-01,218.43
2016-01-01,241.31
2017-01-01,252.54
2018-01-01,270.77
2019-01-01,274.63
2020-01-01,256.51
2021-01-01,256.63
2022-01-01,285.00
2023-01-01,283.67
